job title,job link,job location,salary,skills required,company name
Jr. Data Scientist,https://wuzzuf.net/jobs/p/g/NLNDvRIHrDfL-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['Python', 'Computer Science', 'Information Technology (IT)', 'SQL', 'Data Science', 'Machine Learning', 'Data Scientist', 'Java', 'Data Analysis', 'Software Development', 'Engineering', 'MySQL', 'Software Engineering', 'Statistics', 'Hadoop', 'Naive Bayes', 'Startup', 'Analysis', 'Database', 'Mathematics']",DXC Technology
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/GwSxnBKxb01p-Remote-Data-Entry-Position-Immediate-Need-Peknit-Legal-Management-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",Peknit Legal Management
Remote Data Entry Role (Part Time),https://wuzzuf.net/jobs/p/g/DR5uSuN9du2Z-Remote-Data-Entry-Role-Part-Time-Elitetownhires-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'computer engineering', 'customer service', 'microsoft office', 'data entry', 'software', 'management', 'communication skills', 'database', 'security', 'communication']",Elitetownhires
Part Time/Full Time Remote Data Entry Clerk,https://wuzzuf.net/jobs/p/g/tbH4l5mhnFPZ-Part-TimeFull-Time-Remote-Data-Entry-Clerk-Elitetownhires-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'computer engineering', 'python', 'data entry', 'microsoft office', 'communication skills', 'social media', 'software', 'media', 'computer', 'database']",Elitetownhires
Remote Data Entry Role (Entry Level),https://wuzzuf.net/jobs/p/g/w74qKh3wimY5-Remote-Data-Entry-Role-Entry-Level-Elitetownhires-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'computer engineering', 'customer service', 'microsoft office', 'data entry', 'software', 'management', 'analysis', 'communication skills', 'database', 'security']",Elitetownhires
Data Entry-Full Time-Remote Work,https://wuzzuf.net/jobs/p/g/FgLy28OKEW2Y-Data-Entry-Full-Time-Remote-Work-Elitetownhires-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['information technology (it)', 'computer science', 'software development', 'computer engineering', 'microsoft office', 'data entry', 'software', 'communication skills', 'management', 'communication', 'database', 'computer']",Elitetownhires
Part-Time Remote Data Entry Position,https://wuzzuf.net/jobs/p/g/V5GActYgampr-Part-Time-Remote-Data-Entry-Position-BrightSpark-Business-Solutions-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['information technology (it)', 'computer science', 'customer service', 'computer engineering', 'microsoft office', 'data entry', 'software', 'management', 'communication skills', 'operations', 'communication', 'database']",BrightSpark Business Solutions
Data Entry Roles Remote Work (Part-Time/Full-Time),https://wuzzuf.net/jobs/p/g/T1PpLW2PfArj-Data-Entry-Roles-Remote-Work-Part-TimeFull-Time-hiretowncity-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['information technology (it)', 'computer science', 'microsoft office', 'engineering', 'data entry', 'management', 'communication skills', 'software', 'communication', 'database', 'computer', 'security']",hiretowncity
Virtual Data Quality Controller,https://wuzzuf.net/jobs/p/g/0gakKh09Xi9N-Virtual-Data-Quality-Controller-StriveNest-Kuwait-City-Kuwait,"Kuwait City, Kuwait ",Confidential,"['information technology (it)', 'computer science', 'quality control', 'engineering', 'quality', 'microsoft office', 'software', 'crm', 'data entry', 'excel', 'education', 'is']",StriveNest
Data Entry Assistant-Full Time-Remote,https://wuzzuf.net/jobs/p/g/hhy4e0D4tnOE-Data-Entry-Assistant-Full-Time-Remote-hirenationalcity-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['information technology (it)', 'computer science', 'microsoft office', 'accounting', 'data entry', 'communication skills', 'software', 'management', 'database', 'communication', 'skills', 'computer']",hirenationalcity
Work From Home Data Entry Assistant (Entry Level),https://wuzzuf.net/jobs/p/g/Gc1INrEFAN5Q-Work-From-Home-Data-Entry-Assistant-Entry-Level-BrightSpark-Business-Solutions-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['microsoft office', 'administration', 'information technology (it)', 'computer science', 'data entry', 'communication skills', 'management', 'software', 'communication', 'business', 'database', 'data']",BrightSpark Business Solutions
Part-Time Remote Data Entry Clerk,https://wuzzuf.net/jobs/p/g/IKOGH9MBhZ2q-Part-Time-Remote-Data-Entry-Clerk-BrightSpark-Business-Solutions-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'computer engineering', 'microsoft office', 'data entry', 'communication skills', 'management', 'software', 'database', 'communication', 'data']",BrightSpark Business Solutions
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/arEJ9bUQhtO6-Remote-Data-Entry-Position-Immediate-Need-Agence-LPC-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",Agence LPC
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/fg85DRDhzMAV-Remote-Data-Entry-Position-Immediate-Need-The-Fascinator-Boutique-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",The Fascinator Boutique
Data Entry Role – Fully Remote,https://wuzzuf.net/jobs/p/g/agMayik4AvCs-Data-Entry-Role-–-Fully-Remote-hiretowncity-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'computer engineering', 'customer service', 'microsoft office', 'software', 'management', 'data entry', 'communication skills', 'database', 'communication', 'security']",hiretowncity
Data Entry Assistant-Full Time-Remote,https://wuzzuf.net/jobs/p/g/f9jF8bCRTbNW-Data-Entry-Assistant-Full-Time-Remote-hiretowncity-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['information technology (it)', 'computer science', 'microsoft office', 'accounting', 'data entry', 'communication skills', 'software', 'management', 'database', 'communication', 'skills', 'analytical']",hiretowncity
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/BUVjWO6axP3s-Remote-Data-Entry-Position-Immediate-Need-21-4-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",21
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/5x7QAwmM8SB7-Remote-Data-Entry-Position-Immediate-Need-GreenTec-Invest-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",GreenTec Invest
Fully Remote Data Entry Role – Part Time,https://wuzzuf.net/jobs/p/g/lwU07UyyxP0w-Fully-Remote-Data-Entry-Role-–-Part-Time-hirenationalcity-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'computer engineering', 'project management', 'software', 'microsoft office', 'management', 'data entry', 'database', 'communication skills', 'security', 'communication']",hirenationalcity
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/vPAEv6oFoukV-Remote-Data-Entry-Position-Immediate-Need-Garellence-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",Garellence
Data Entry Assistant – Fully Remote Role,https://wuzzuf.net/jobs/p/g/zeQJxcv5luRt-Data-Entry-Assistant-–-Fully-Remote-Role-hirenationalcity-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'software', 'management', 'data entry', 'communication skills', 'database', 'security', 'business']",hirenationalcity
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/ebWxXpWHGKUM-Remote-Data-Entry-Position-Immediate-Need-FOAM-Music-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",FOAM Music
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/oIPe2kRPSK7J-Remote-Data-Entry-Position-Immediate-Need-ABCmuziek-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",ABCmuziek
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/jKhjAoI8LQht-Remote-Data-Entry-Position-Immediate-Need-Eagle-Communications---Almere-NL-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",Eagle Communications
Remote Online Data Entry Clerk Needed,https://wuzzuf.net/jobs/p/g/6CzUYDgLln2e-Remote-Online-Data-Entry-Clerk-Needed-BrightSpark-Business-Solutions-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['information technology (it)', 'computer science', 'data entry', 'administration', 'microsoft office', 'media', 'social media', 'database', 'software', 'communication', 'communication skills', 'management']",BrightSpark Business Solutions
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/rYEpolSJF8oZ-Remote-Data-Entry-Position-Immediate-Need-Team-Rennick-LLC-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']","Team Rennick, LLC"
Entry Level (Data Entry Clerk) - Remote,https://wuzzuf.net/jobs/p/g/LMoUYizmBcSH-Entry-Level-Data-Entry-Clerk---Remote-hirenationalcity-Riyadh-Saudi-Arabia,"Riyadh, Saudi Arabia ",Confidential,"['Engineering', 'Science', 'Administration', 'LWD', 'entry level', 'Chemistry', 'Communication Skills', 'Computer Science', 'Customer Service', 'Drilling Principles', 'Electrical Engineering', 'Equipment', 'Field', 'Information Technology (IT)', 'Logging', 'Logging & Perf', 'M/LWD Training Program', 'Microsoft Office', 'Offshore Safety Certificates', 'Oil & Gas']",hirenationalcity
Remote Data Entry Position (Immediate Need),https://wuzzuf.net/jobs/p/g/aKNMDjw21TPE-Remote-Data-Entry-Position-Immediate-Need-Roadskill-Dubai-United-Arab-Emirates,"Dubai, United Arab Emirates ",Confidential,"['computer science', 'information technology (it)', 'customer service', 'engineering', 'microsoft office', 'data entry', 'management', 'operations', 'software', 'communication skills', 'database', 'business']",Roadskill
